X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-1.300000000000001E+00	+7.431462934022988E-01	+2.919385250992242E-01	-5.534345318860380E-03	+2.864041797803639E-01	+2.864043339245397E-01	+1.541441758123874E-07
-1.289999999999999E+00	+7.453063874280924E-01	+2.938850474323174E-01	-5.534323016130731E-03	+2.883507244161866E-01	+2.883505709913709E-01	+1.534248157408769E-07
-1.280000000000001E+00	+7.474769563282746E-01	+2.958479830142678E-01	-5.534300885860263E-03	+2.903136821284075E-01	+2.903138362927325E-01	+1.541643249725055E-07
-1.270000000000000E+00	+7.496579713374337E-01	+2.978286535726893E-01	-5.534278928043455E-03	+2.922943746446458E-01	+2.922942212479683E-01	+1.533966774713846E-07
-1.259999999999998E+00	+7.518493996160616E-01	+2.998259168363679E-01	-5.534257142674827E-03	+2.942916596936931E-01	+2.942918138794428E-01	+1.541857496123455E-07
-1.250000000000000E+00	+7.540512040952114E-01	+3.018410874906373E-01	-5.534235529748940E-03	+2.963068519608884E-01	+2.963066985935278E-01	+1.533673605336183E-07
-1.240000000000002E+00	+7.562633433167618E-01	+3.038730158337236E-01	-5.534214089260400E-03	+2.983388017444632E-01	+2.983389559529554E-01	+1.542084921979381E-07
-1.230000000000000E+00	+7.584857712692200E-01	+3.059230085983437E-01	-5.534192821203858E-03	+3.003888157771398E-01	+3.003886624402956E-01	+1.533368442219185E-07
-1.219999999999999E+00	+7.607184372190067E-01	+3.079899077053584E-01	-5.534171725574005E-03	+3.024557359797844E-01	+3.024558902123314E-01	+1.542325470116346E-07
-1.210000000000001E+00	+7.629612855371680E-01	+3.100750109525755E-01	-5.534150802365575E-03	+3.045408601502099E-01	+3.045407068450997E-01	+1.533051102731164E-07
-1.199999999999999E+00	+7.652142555214593E-01	+3.121771508629914E-01	-5.534130051573347E-03	+3.066430208114181E-01	+3.066431750693633E-01	+1.542579452507020E-07
-1.189999999999998E+00	+7.674772812137444E-01	+3.142976152416318E-01	-5.534109473192145E-03	+3.087635057684396E-01	+3.087633524962794E-01	+1.532721602415243E-07
-1.180000000000000E+00	+7.697502912126817E-01	+3.164352261155867E-01	-5.534089067216832E-03	+3.109011370483699E-01	+3.109012913330487E-01	+1.542846787550012E-07
-1.170000000000002E+00	+7.720332084816544E-01	+3.185912601599389E-01	-5.534068833642317E-03	+3.130571913262966E-01	+3.130570380883189E-01	+1.532379776958415E-07
-1.160000000000000E+00	+7.743259501519083E-01	+3.207645277268422E-01	-5.534048772463549E-03	+3.152304789543787E-01	+3.152306332671216E-01	+1.543127429726177E-07
-1.149999999999999E+00	+7.766284273208831E-01	+3.229562931414104E-01	-5.534028883675522E-03	+3.174222642577348E-01	+3.174221110551351E-01	+1.532025997175168E-07
-1.140000000000001E+00	+7.789405448457198E-01	+3.251653538172244E-01	-5.534009167273274E-03	+3.196313446499511E-01	+3.196314989920733E-01	+1.543421221383845E-07
-1.129999999999999E+00	+7.812622011319396E-01	+3.273929604232851E-01	-5.533989623251885E-03	+3.218589708000332E-01	+3.218588176340030E-01	+1.531660301368198E-07
-1.120000000000001E+00	+7.835932879172867E-01	+3.296378960832220E-01	-5.533970251606480E-03	+3.241039258316156E-01	+3.241040802043984E-01	+1.543727828345887E-07
-1.109999999999999E+00	+7.859336900507694E-01	+3.319013964144220E-01	-5.533951052332222E-03	+3.263674453620897E-01	+3.263672922337761E-01	+1.531283135847161E-07
-1.100000000000001E+00	+7.882832852668973E-01	+3.341822288084731E-01	-5.533932025424324E-03	+3.286482967830488E-01	+3.286484511877292E-01	+1.544046803747534E-07
